study_hours,attendance_percent,assignment_score,previous_score,sleep_hours,internet_access,passed
5.53,78.2,61.0,42.0,7.7,1,0
5.27,71.6,87.8,45.0,7.8,1,0
5.5,74.2,71.2,33.4,9.9,1,1
7.0,84.0,63.0,66.5,6.3,1,0
5.51,53.5,39.3,48.1,6.3,1,1
6.56,78.1,67.1,59.8,7.7,1,1
5.16,70.9,43.5,76.6,7.8,1,0
5.66,100.0,86.4,55.7,6.2,1,1
6.45,73.7,95.8,69.7,6.3,1,1
1.65,97.7,56.5,61.2,7.4,1,1
4.26,61.7,75.1,76.8,5.8,1,0
3.92,83.6,57.7,73.6,6.3,1,0
3.53,80.2,59.3,54.9,6.9,1,1
4.37,64.7,83.2,63.3,8.0,1,1
8.44,78.3,69.3,82.7,6.1,1,1
3.01,91.8,99.6,72.3,4.6,1,1
7.23,71.8,61.8,43.6,4.5,1,0
1.13,54.0,87.0,76.5,5.3,1,0
4.23,75.8,71.7,48.6,5.2,0,0
5.37,64.3,83.5,88.6,6.6,0,1
6.35,71.5,62.4,82.4,5.4,1,1
6.64,74.9,69.2,70.6,6.0,1,1
6.82,53.8,68.0,68.5,5.9,1,1
4.2,55.0,55.8,62.7,6.3,0,1
3.94,82.3,81.3,76.9,8.4,1,1
6.97,69.2,81.1,60.1,7.6,1,1
4.56,42.7,80.1,69.8,6.8,1,0
2.07,86.2,96.1,80.0,6.2,1,0
2.39,79.5,94.6,57.0,6.3,1,0
2.89,66.7,63.6,56.1,7.2,0,0
6.14,58.9,76.3,46.9,7.5,1,1
5.33,86.9,59.4,49.0,5.7,1,0
6.59,80.5,70.4,36.7,6.8,1,1
4.02,100.0,59.8,77.7,4.4,1,1
5.36,81.5,97.5,94.9,7.1,1,1
6.44,81.0,76.2,88.8,7.7,1,0
4.29,73.8,66.3,40.0,6.5,0,0
6.05,86.6,90.3,77.6,9.0,1,1
3.48,84.1,33.1,88.8,5.7,1,0
4.16,92.3,35.8,58.7,7.1,1,0
4.12,69.2,83.5,67.6,6.8,1,1
2.25,70.3,71.0,33.9,6.7,1,0
6.12,69.8,74.3,70.3,6.7,0,1
3.92,86.3,47.5,49.0,6.9,0,1
5.03,95.5,69.6,69.2,7.8,1,1
6.11,70.0,100.0,41.0,8.5,1,1
6.03,70.5,84.0,74.7,6.8,1,1
6.53,80.1,72.9,82.4,7.8,1,1
4.77,72.8,62.5,53.5,6.0,1,0
4.03,88.4,63.3,47.8,7.7,1,1
4.82,46.7,33.8,31.5,5.9,1,0
1.12,65.3,74.4,61.7,8.1,1,1
1.67,65.8,84.4,56.7,9.5,0,0
1.96,45.8,43.2,41.2,6.7,1,0
2.71,63.5,58.8,73.2,4.2,0,0
5.92,64.1,50.3,58.8,6.1,1,0
2.92,73.4,53.6,48.8,8.3,1,0
4.13,90.5,70.9,57.1,7.5,1,0
7.99,72.8,34.6,83.1,7.1,1,1
4.18,62.6,80.4,75.6,8.0,1,1
6.7,75.3,82.8,63.9,7.4,1,1
2.85,89.6,65.7,75.9,8.3,0,1
4.53,63.3,27.8,47.4,7.9,1,1
2.81,64.2,53.1,66.5,8.6,1,0
4.22,83.3,91.0,68.4,7.2,0,0
6.93,73.1,22.8,58.5,7.9,1,1
1.03,84.4,64.1,73.0,6.4,1,0
6.0,75.8,49.9,53.5,6.1,1,1
5.55,85.1,83.7,74.2,8.8,1,1
3.63,62.5,58.5,74.8,7.1,1,0
1.67,75.8,76.9,20.0,7.8,0,0
5.17,73.3,79.6,85.0,6.9,0,1
3.78,60.2,100.0,20.0,6.1,1,0
5.54,55.7,66.5,56.1,6.8,1,0
5.05,84.9,76.4,82.4,8.5,1,1
8.68,71.4,44.8,60.9,7.5,1,1
4.45,62.7,90.2,42.5,4.7,1,0
2.65,74.7,57.1,48.5,6.5,0,0
5.41,90.7,60.5,82.4,8.9,1,1
5.51,46.4,69.6,35.3,6.5,1,0
8.13,56.5,43.4,84.1,4.6,1,0
6.92,64.0,73.9,65.1,9.1,1,1
5.82,95.0,86.4,46.9,7.6,1,1
8.37,79.7,75.0,56.7,6.7,0,1
2.27,86.0,43.0,49.7,6.4,1,0
3.53,61.2,67.9,79.9,8.1,1,1
2.87,61.4,82.6,77.7,6.1,1,1
4.1,81.8,38.1,38.5,8.2,1,0
1.83,76.8,51.7,59.5,7.5,1,0
6.46,83.1,84.9,52.2,7.1,1,1
4.49,73.6,74.6,86.7,7.0,1,1
1.62,79.6,77.0,44.4,6.6,1,0
2.66,78.1,100.0,91.7,8.1,0,1
5.72,86.1,78.0,65.5,5.8,0,1
6.93,86.5,81.2,47.4,4.9,0,1
9.59,54.9,100.0,55.2,7.5,0,1
11.7,46.8,66.4,53.2,7.6,1,1
5.95,89.0,56.4,45.6,7.4,1,1
2.72,91.4,77.3,67.5,7.3,1,1
0.5,62.7,77.5,46.4,6.4,1,1
5.62,51.8,61.0,31.1,7.7,1,1
3.13,77.3,52.4,59.9,6.7,1,1
4.04,88.1,100.0,37.2,6.2,1,1
3.59,99.4,75.6,54.0,6.4,0,1
4.68,82.7,57.6,51.5,9.2,1,0
7.45,71.2,85.6,52.1,4.7,1,1
5.36,64.4,68.1,98.0,7.4,1,1
4.64,76.1,65.7,66.9,4.8,1,1
2.62,72.1,79.6,69.9,6.7,1,0
1.15,62.8,48.0,37.6,6.3,1,0
3.88,100.0,76.0,55.5,4.3,1,1
4.88,99.2,100.0,69.4,7.3,1,1
9.07,90.8,77.9,49.6,6.3,1,1
5.3,64.0,63.6,80.5,4.3,1,1
7.26,87.1,61.4,46.8,7.8,1,1
3.85,84.3,63.0,61.4,8.5,1,1
2.27,81.8,65.7,56.6,8.6,1,1
2.78,92.2,63.6,68.6,7.2,0,0
3.33,84.3,85.6,55.8,6.9,1,1
9.9,85.6,40.5,61.7,8.4,0,1
3.11,84.3,84.7,62.2,8.8,1,1
6.93,80.4,63.5,54.2,8.2,1,1
2.92,52.8,76.4,73.8,5.7,1,0
7.14,77.1,50.8,69.8,7.0,1,0
5.89,68.8,92.6,64.6,7.3,1,1
4.64,59.4,91.2,59.1,4.6,1,0
4.91,97.9,86.3,78.7,7.4,1,1
3.49,98.5,44.2,62.2,9.5,1,1
6.03,93.7,84.1,61.1,7.6,1,1
3.95,79.3,76.9,67.7,8.6,1,1
2.18,93.6,42.7,93.1,7.0,0,1
2.06,76.2,69.6,44.6,6.7,1,0
5.4,78.6,76.2,78.3,7.3,1,1
8.63,61.8,79.5,35.7,5.8,1,1
5.37,81.2,73.0,69.5,5.6,1,1
4.73,76.8,75.0,91.2,8.3,1,0
5.66,59.1,95.1,73.8,8.4,1,1
8.0,75.3,90.8,68.7,5.6,1,1
5.5,75.0,21.3,57.0,8.0,1,1
4.05,99.4,64.6,66.5,6.7,1,1
7.54,87.6,67.2,62.0,7.2,0,0
5.99,76.1,40.2,53.4,7.4,1,1
8.53,79.2,71.6,61.4,8.0,0,0
5.42,76.6,91.2,69.2,6.9,1,1
2.18,73.4,51.5,53.7,8.5,1,0
1.85,61.9,75.7,53.1,7.2,0,1
8.8,74.0,54.4,44.2,7.5,0,1
8.96,66.3,58.6,72.3,5.8,1,1
4.59,59.7,95.1,74.7,9.4,0,1
4.12,82.6,60.8,69.7,7.4,1,1
8.36,81.1,77.9,81.4,7.7,1,1
2.45,52.8,38.2,67.4,4.9,1,0
2.94,74.4,100.0,72.3,5.8,1,0
6.48,88.9,80.2,70.9,8.3,1,1
4.09,89.8,66.9,64.5,7.1,1,1
4.99,89.3,79.8,57.5,4.5,1,1
4.62,76.5,46.0,100.0,8.0,1,0
5.78,65.0,90.1,58.8,6.1,1,1
8.24,61.9,64.5,55.3,8.5,1,1
5.21,80.5,66.5,72.9,6.7,1,1
6.48,80.9,61.6,70.0,7.0,1,1
0.5,92.7,60.1,43.5,8.2,1,0
4.89,90.3,81.8,84.0,5.7,1,1
3.06,74.3,74.4,64.5,5.6,1,0
2.2,59.8,81.1,48.2,6.6,1,0
2.98,71.9,69.9,85.0,7.8,0,1
4.23,78.8,78.7,76.0,5.2,1,1
7.11,73.4,62.9,45.8,4.8,0,0
1.95,68.5,100.0,94.4,7.8,1,0
5.07,79.3,43.3,76.5,6.1,0,1
3.89,69.4,91.4,65.8,6.3,1,0
4.25,67.8,93.3,91.4,4.6,1,0
7.31,80.0,55.5,68.5,6.0,1,1
6.24,70.8,100.0,65.6,6.8,1,1
8.08,79.2,86.9,55.4,7.9,0,1
4.64,79.6,86.5,75.3,5.9,1,1
3.4,61.2,70.5,73.6,8.8,1,0
4.49,69.7,66.3,66.2,6.0,1,1
5.56,94.7,66.4,53.4,6.0,1,1
5.41,60.9,76.6,68.1,8.6,1,1
2.51,48.5,93.8,64.9,7.1,1,0
5.21,51.8,73.1,44.7,6.1,1,1
5.52,76.4,54.5,42.5,6.6,1,0
10.79,76.4,84.0,75.0,8.4,1,1
9.32,74.5,85.7,24.4,8.6,1,1
3.04,91.8,81.1,69.3,5.8,0,1
4.34,41.3,82.7,58.4,6.7,1,1
1.63,81.1,65.4,86.9,6.9,1,1
3.64,96.3,54.2,58.1,5.6,1,1
5.73,61.3,55.2,76.6,6.7,1,1
7.77,71.1,42.2,59.6,6.8,1,1
3.32,66.2,74.0,67.8,8.2,0,1
3.5,64.4,68.6,77.8,8.2,0,1
0.5,71.8,62.5,58.6,6.4,0,0
4.63,94.6,20.0,81.9,6.5,1,0
2.56,99.9,48.8,50.1,7.6,0,0
3.78,71.6,89.1,70.7,6.1,1,0
2.98,100.0,58.7,80.8,7.5,1,1
4.78,76.5,76.1,76.6,6.7,1,1
0.96,98.8,46.4,96.7,5.6,1,0
1.63,74.8,94.5,53.8,5.7,1,0
9.9,77.7,67.6,43.9,8.5,0,1
2.04,80.8,74.9,50.1,6.6,1,1
2.48,100.0,100.0,76.6,8.8,0,1
9.22,87.1,95.8,74.0,6.2,0,1
11.68,66.8,64.8,67.6,7.1,1,1
2.31,88.6,59.9,48.0,9.7,0,0
4.15,71.3,64.5,78.3,5.5,1,1
5.79,69.6,78.7,46.4,4.5,1,0
8.98,87.8,68.2,84.5,8.3,1,1
2.73,76.4,63.3,100.0,5.8,1,1
4.44,79.6,94.9,71.9,6.8,1,1
6.79,76.2,68.1,75.3,6.1,1,1
6.0,80.4,100.0,58.1,7.1,1,1
4.13,81.5,71.5,37.0,5.7,1,0
4.69,50.8,100.0,56.4,6.6,1,1
1.84,84.7,76.1,48.5,7.3,1,0
4.45,63.2,86.4,42.8,5.6,1,1
4.39,57.3,57.7,93.6,6.0,0,0
5.53,75.2,55.5,70.4,6.4,1,1
3.72,77.1,77.8,72.1,5.1,1,0
6.08,67.0,86.8,61.1,6.3,1,1
7.33,86.8,70.7,63.2,6.9,1,1
5.36,58.6,48.1,81.4,6.3,1,0
5.81,70.7,46.9,65.5,6.5,1,1
5.12,68.4,45.7,74.5,6.8,1,1
5.0,75.4,40.0,62.9,6.0,1,0
3.34,79.6,71.9,60.5,7.6,1,0
5.73,62.9,89.1,43.5,8.5,1,0
4.78,85.4,69.8,34.4,6.2,0,0
9.81,76.8,31.6,61.8,7.4,1,1
8.62,51.4,66.8,66.9,6.5,1,0
5.89,50.5,67.2,45.4,7.2,1,0
3.24,75.8,100.0,65.4,8.7,1,1
2.44,73.1,45.2,66.9,7.4,1,1
7.74,74.7,63.4,31.5,4.7,1,0
5.6,75.6,99.0,51.4,7.3,0,1
6.1,78.9,77.6,72.5,8.3,0,1
0.99,88.3,79.6,72.2,6.5,0,1
7.13,61.6,71.9,47.5,8.0,1,1
6.05,60.8,75.6,68.5,6.0,1,1
2.45,61.8,83.2,82.4,5.0,1,0
3.92,79.8,56.2,78.4,7.0,1,1
5.61,92.2,84.9,64.5,4.7,1,0
5.12,70.4,46.7,58.5,6.5,1,1
4.33,43.5,75.6,55.9,8.3,1,0
4.76,53.8,73.0,73.5,4.5,1,0
4.42,65.2,59.5,69.1,5.3,1,1
5.35,68.7,69.6,76.1,5.6,1,0
8.38,70.7,59.4,68.1,6.7,1,1
0.5,76.5,51.8,79.1,6.4,1,0
4.46,71.9,64.0,67.5,8.5,1,1
5.41,89.6,51.2,78.6,7.9,1,1
5.68,67.2,75.5,79.9,7.4,1,1
4.14,64.8,50.4,53.1,7.0,1,0
0.96,82.2,82.1,37.1,7.3,1,0
5.75,56.0,49.9,90.7,5.8,1,1
8.97,81.1,60.4,70.1,7.8,0,1
1.47,77.3,59.4,38.6,5.5,1,0
6.99,74.1,92.5,54.6,7.8,1,0
4.24,96.6,75.6,78.3,8.2,1,1
4.86,67.9,66.4,61.5,7.1,1,0
2.58,100.0,78.5,57.8,6.6,0,1
4.23,73.1,34.2,88.4,7.3,1,0
7.99,59.4,69.3,49.2,4.0,1,0
6.34,76.9,100.0,53.2,7.2,1,1
8.98,62.0,72.2,69.4,6.7,1,1
7.71,66.2,71.2,72.2,6.7,1,0
6.01,81.2,79.3,73.9,7.6,1,1
9.01,83.2,85.2,80.6,6.7,1,1
6.01,67.9,36.0,69.2,5.4,1,1
6.9,88.8,41.4,73.8,6.6,1,1
4.32,91.0,73.6,61.9,6.9,1,1
5.15,94.7,57.8,67.0,6.9,1,0
3.4,82.9,92.3,67.7,7.0,1,0
7.28,93.7,64.6,69.4,8.0,1,1
2.29,51.5,37.1,78.4,5.5,1,1
6.8,71.9,48.4,74.9,7.0,1,1
4.56,64.7,23.3,66.7,8.3,1,0
7.69,77.5,66.0,53.1,4.7,0,1
6.73,68.6,66.8,67.1,7.0,1,1
9.19,73.8,62.8,65.6,6.1,1,1
6.68,100.0,88.3,69.1,6.4,0,1
1.38,73.8,90.4,100.0,5.7,0,1
4.85,81.4,67.1,57.6,6.6,1,0
2.3,73.0,33.7,72.8,9.0,1,0
3.81,77.0,80.5,83.1,5.3,0,1
8.48,76.1,79.4,67.6,5.4,1,1
6.47,81.8,75.3,100.0,5.2,1,1
3.39,91.1,86.7,60.0,8.9,1,1
2.67,97.4,50.2,71.2,6.2,1,1
5.08,80.0,100.0,53.2,6.8,1,1
2.2,83.7,53.7,60.4,6.3,1,1
3.46,61.0,82.7,70.0,5.7,1,0
5.72,74.9,41.3,79.5,6.5,1,1
7.66,88.2,54.2,71.1,9.7,0,1
6.4,87.3,95.8,86.1,8.5,1,1
0.5,78.8,65.6,64.5,5.8,1,0
5.7,87.5,84.3,60.7,7.6,1,0
5.17,82.4,74.0,100.0,5.8,0,1
5.95,91.6,68.2,72.3,4.7,1,1
8.72,79.8,93.2,54.5,8.0,1,1
0.5,71.4,66.0,54.9,8.2,1,1
3.64,80.4,39.7,50.9,8.1,1,1
6.36,40.0,56.3,81.0,6.2,0,1
1.36,81.0,79.4,60.2,6.6,1,1
8.39,40.0,76.7,68.0,7.7,1,1
5.85,53.6,43.4,65.0,7.3,1,1
6.95,81.9,57.7,77.7,6.3,1,1
3.69,82.2,60.1,52.5,4.9,1,0
6.87,60.9,63.8,48.8,6.9,1,1
7.46,66.7,46.6,69.6,8.1,1,1
5.54,93.8,59.3,75.6,5.4,0,1
5.54,69.7,57.6,71.3,7.6,1,1
5.62,100.0,83.1,53.0,7.2,1,1
3.01,76.0,83.8,76.8,7.7,1,1
4.66,81.3,67.5,54.1,7.8,1,1
4.65,97.0,63.3,57.7,6.0,1,0
5.88,77.7,72.4,50.9,4.9,1,0
7.3,63.0,56.1,86.8,6.2,1,1
2.57,74.6,50.5,76.1,7.9,0,1
4.71,75.5,54.0,75.7,6.1,1,1
8.41,58.3,59.2,86.0,6.0,1,1
3.29,72.7,50.2,100.0,4.6,1,0
3.11,66.4,72.8,38.7,8.9,0,1
5.47,88.0,82.4,54.2,7.8,1,1
6.94,76.4,43.0,56.1,7.7,1,0
5.03,72.3,70.4,52.4,8.0,1,0
8.06,74.6,66.3,48.8,7.5,0,1
6.97,78.9,75.8,61.2,6.5,1,1
6.94,84.0,69.8,46.5,6.6,1,1
6.27,63.0,45.3,71.4,6.3,1,1
10.35,62.5,48.5,66.8,10.0,1,1
4.53,90.4,70.5,73.7,7.5,1,0
0.5,70.6,87.5,74.1,6.2,1,0
8.69,57.6,32.4,75.6,7.4,1,1
3.95,81.8,75.9,60.0,5.6,1,0
5.25,82.0,90.2,99.9,8.6,1,1
8.01,56.1,67.4,69.8,6.0,0,0
1.31,79.0,79.4,36.2,7.4,0,0
2.12,85.6,58.0,50.0,8.1,1,0
1.32,80.9,68.0,38.2,7.3,1,0
3.17,84.2,42.4,66.3,6.9,1,1
6.01,57.7,30.1,64.1,6.8,1,1
6.21,80.3,86.0,58.5,6.7,0,1
5.64,72.1,53.3,98.2,6.1,1,1
1.75,69.7,62.3,74.8,6.3,1,0
0.5,87.3,46.4,77.6,8.6,1,1
5.13,95.2,46.0,51.1,6.7,0,1
3.91,99.3,67.0,50.0,5.9,1,1
6.06,93.1,57.6,66.6,6.2,1,1
6.61,74.6,76.4,68.8,8.1,1,1
5.32,80.6,77.7,36.3,7.6,1,0
6.75,86.0,75.5,63.1,7.5,1,1
5.53,77.6,74.1,66.2,6.5,1,0
6.22,77.7,96.8,62.6,7.5,1,1
3.38,86.7,51.9,53.0,6.0,1,0
4.59,75.2,69.1,57.4,6.5,1,1
5.45,66.5,89.3,63.2,8.0,1,1
6.89,70.6,91.5,67.5,7.8,1,1
4.09,84.2,45.8,75.7,5.6,1,0
6.2,76.0,64.7,83.3,5.8,1,1
4.39,80.4,93.1,61.3,6.9,1,1
4.73,84.7,78.6,58.7,8.9,1,1
6.91,71.1,73.3,73.0,4.5,1,1
0.5,85.8,66.3,75.8,7.1,1,0
2.02,80.9,63.5,59.1,5.1,1,0
1.59,59.9,74.9,78.6,6.0,1,0
0.5,94.7,65.7,81.7,6.4,1,1
3.44,69.5,69.3,86.7,6.3,1,1
6.72,54.5,71.3,94.5,6.2,1,1
4.34,62.4,58.5,52.1,6.8,1,0
5.45,62.7,79.0,66.2,6.2,1,0
7.51,76.7,100.0,66.2,5.0,1,1
8.05,72.4,39.8,64.4,7.7,1,1
4.84,71.6,75.5,55.6,7.7,1,1
8.11,84.1,57.1,42.2,7.8,1,1
5.21,80.4,79.8,67.5,5.0,0,1
3.07,80.1,70.8,53.7,7.2,1,1
3.63,81.3,83.0,67.4,7.6,1,1
1.59,84.0,90.0,53.3,5.6,1,1
2.96,48.6,73.3,48.4,6.8,1,0
4.18,71.3,89.2,69.7,6.7,1,0
6.85,47.7,30.1,68.4,9.0,1,1
8.96,76.5,97.0,75.3,9.1,1,1
1.82,75.9,76.4,100.0,4.8,1,0
5.9,89.6,88.3,70.4,9.8,1,1
2.61,91.4,49.3,73.8,5.7,1,1
6.09,78.6,55.9,48.8,8.0,0,1
4.7,69.5,72.5,45.4,8.0,1,0
0.79,82.3,69.7,91.3,5.6,1,0
7.14,69.1,74.8,51.2,7.4,1,1
3.61,76.0,88.4,49.3,6.7,1,1
3.77,88.8,40.0,65.4,7.5,1,0
2.54,68.7,86.6,64.6,7.1,1,0
3.5,86.5,70.1,51.6,8.2,1,0
5.98,84.8,66.5,61.1,6.9,1,1
4.56,63.6,45.0,85.7,6.6,1,1
5.76,88.7,78.6,53.1,8.1,1,1
5.83,85.1,29.0,43.7,7.5,1,1
8.04,77.3,81.0,81.1,7.7,1,1
4.21,66.1,44.6,73.9,6.0,1,0
1.6,64.8,70.9,56.1,5.5,1,0
7.45,69.0,68.0,40.7,6.1,1,0
4.24,83.1,89.9,54.1,6.1,1,1
7.56,63.6,67.0,65.1,7.7,1,1
5.88,81.7,58.2,84.7,8.0,1,0
4.7,59.9,61.4,49.4,6.6,1,1
5.8,73.3,91.6,64.6,8.5,0,1
9.49,77.4,79.1,76.8,8.4,1,1
9.78,100.0,63.4,27.9,7.1,1,1
5.16,58.1,66.0,82.5,5.8,1,1
5.37,95.1,43.4,47.1,8.7,0,1
7.48,77.9,76.6,71.3,6.7,1,1
3.05,81.3,40.1,69.9,7.0,1,0
5.77,77.5,82.8,83.4,6.4,1,1
4.94,81.8,72.2,74.8,5.7,0,1
5.72,74.0,100.0,28.0,5.0,0,1
3.08,94.9,51.3,53.4,7.6,1,1
1.34,70.1,68.3,68.2,5.9,1,0
0.5,90.7,100.0,62.9,10.0,1,0
2.43,67.6,90.3,73.6,5.5,1,1
3.95,75.2,58.2,78.6,5.3,1,1
4.33,62.1,73.8,75.7,7.4,1,1
9.46,81.9,70.0,62.6,8.6,1,1
7.54,94.8,74.8,36.5,6.9,1,1
2.79,75.0,58.1,58.7,7.5,1,0
5.8,73.4,68.5,72.7,4.6,1,1
4.06,61.5,42.8,48.6,6.0,1,1
4.35,73.0,72.3,76.1,5.5,1,0
5.43,55.3,77.7,80.5,4.5,1,1
6.42,64.1,66.1,68.0,6.9,1,0
4.22,78.9,42.5,20.0,4.1,1,1
7.45,93.1,86.8,45.6,5.2,1,1
2.37,100.0,76.2,96.2,6.2,0,0
5.01,68.4,57.7,57.3,5.8,1,1
10.97,94.7,65.2,34.3,7.3,1,1
5.51,79.2,44.5,85.8,7.2,1,1
8.3,74.0,52.6,66.2,7.9,1,1
5.21,81.6,60.9,83.7,7.7,1,1
6.34,76.8,90.9,70.4,8.2,1,1
4.87,77.4,59.1,73.3,6.8,1,0
4.61,70.7,80.9,71.8,7.2,1,1
3.21,57.8,60.8,77.2,7.4,1,1
5.99,55.9,74.2,100.0,7.0,1,1
3.04,84.5,67.6,81.5,6.3,1,0
6.53,72.4,84.8,40.7,6.4,1,1
7.5,68.3,60.9,73.1,5.8,1,1
5.84,76.1,43.3,84.3,7.3,1,1
4.34,86.3,46.5,85.2,6.7,1,1
6.04,78.3,61.0,59.2,6.0,1,1
4.29,67.5,48.8,84.6,6.0,1,1
7.15,91.9,77.0,80.8,5.3,1,1
0.79,96.5,62.1,100.0,8.0,1,0
4.23,82.4,100.0,54.0,6.9,1,0
0.5,88.7,40.5,57.9,5.8,1,0
1.56,92.1,73.5,61.1,7.8,1,0
8.14,90.7,50.8,58.2,6.1,1,0
7.06,84.0,61.6,51.8,5.1,1,1
3.35,83.8,72.4,21.8,8.0,1,0
1.54,82.8,30.5,59.0,6.2,1,1
0.5,61.7,74.0,71.9,6.3,1,1
3.75,85.1,100.0,58.1,6.8,1,1
10.57,58.4,62.3,97.0,8.2,1,1
6.0,65.7,74.4,66.2,6.8,1,1
3.71,92.9,87.4,86.7,5.4,0,0
6.07,86.9,67.2,70.2,7.5,1,1
1.41,95.3,60.1,79.2,6.2,1,1
4.32,72.5,31.3,70.5,9.1,1,1
5.23,61.0,80.9,87.9,6.8,1,1
4.8,72.9,68.1,66.9,4.1,1,0
6.82,77.3,52.8,73.9,7.2,1,1
5.79,77.0,72.2,71.9,9.1,1,1
6.54,90.7,60.1,61.4,8.7,1,1
3.42,71.3,61.0,72.5,9.0,1,1
7.06,80.6,80.3,100.0,5.6,1,1
8.75,63.1,47.2,61.7,7.9,1,1
2.77,81.9,87.8,72.7,5.9,1,0
2.96,76.0,46.2,86.1,7.1,1,1
8.07,66.3,58.7,84.2,5.3,0,1
4.56,72.9,100.0,66.2,6.0,0,1
8.23,73.6,89.2,27.9,6.0,1,1
3.98,72.5,71.7,74.3,7.9,1,1
8.35,99.0,54.0,30.5,7.8,1,1
5.3,74.7,61.0,89.5,7.1,1,1
5.59,72.8,71.2,68.7,5.2,1,0
8.6,48.7,70.6,82.0,6.4,1,1
4.17,64.4,68.5,51.6,5.9,1,1
2.84,72.6,69.5,41.2,7.8,1,1
3.97,67.1,66.4,70.2,8.2,1,0
6.04,94.0,45.5,65.5,8.1,1,1
1.4,73.9,61.2,58.1,5.9,0,0
6.47,92.7,85.5,67.4,4.0,1,1
3.76,76.8,46.7,100.0,4.7,1,1
7.64,76.5,66.8,79.4,8.5,1,1
0.5,74.8,56.1,82.8,6.3,1,0
3.19,76.0,71.9,79.5,5.9,1,1
1.12,98.3,63.4,89.7,8.8,1,1
3.1,45.8,95.1,63.0,8.3,1,1
5.57,50.0,78.6,33.1,6.8,1,1
4.59,68.9,47.7,63.0,6.4,1,0
4.42,76.2,81.4,79.0,6.6,1,0
4.63,85.0,56.8,50.5,7.1,1,0
5.47,82.2,60.2,63.2,8.7,1,1
2.68,71.0,75.3,54.9,7.3,1,0
6.63,89.2,61.6,90.0,7.7,1,1
6.52,89.4,85.2,78.0,8.2,1,1
5.89,78.4,56.8,76.4,5.4,1,1
6.28,88.5,59.5,75.9,7.7,1,1
5.68,79.5,58.8,65.4,6.4,1,1
9.68,68.7,60.4,69.2,4.0,1,1
4.8,85.1,88.7,47.0,4.2,1,1
4.29,77.4,80.7,31.0,5.6,1,1
3.27,76.0,99.1,68.4,7.4,1,1
2.63,95.1,100.0,71.2,6.9,1,1
2.14,44.1,52.5,85.3,7.0,1,1
2.96,57.6,71.2,91.1,9.1,0,0
4.84,60.6,50.0,91.1,5.3,1,1
5.77,71.3,56.8,50.0,6.8,1,1
5.12,72.7,59.3,60.4,7.2,1,0
3.24,56.4,52.0,73.7,5.9,1,0
7.07,63.2,52.1,100.0,6.8,0,1
6.7,64.8,67.5,89.7,4.9,1,1
4.63,100.0,49.3,83.9,8.5,1,1
3.5,99.4,84.3,59.8,6.0,1,0
6.26,70.6,54.4,51.9,9.2,1,1
5.43,71.3,100.0,78.6,6.8,1,1
1.67,61.1,62.3,48.4,8.0,0,0
4.84,51.2,71.2,62.2,6.7,1,1
5.6,74.5,48.0,64.2,6.8,1,1
2.93,63.0,99.0,91.5,6.1,0,1
5.44,74.9,89.0,60.3,6.9,1,1
1.65,55.2,75.0,27.0,7.2,1,0
8.07,66.1,47.1,74.1,5.9,1,1
7.87,77.9,73.6,54.8,6.6,1,1
4.42,80.8,50.9,66.7,6.1,1,0
5.84,81.4,94.9,64.6,9.6,1,1
